Community,Date,Time,Fixture type,Competition,Home,Home Score,Away Score,Away,Winner,No Score Type,Walkover Reason,Venue,Team Type,Conference,Tier,Score Margin,Total Points ,Team Conceding Walkover,Fixtures,League Fixtures,Knockout Fixtures,Number of Walkovers,Voids,Blowout Game(s),Zero Score?,Blowout to Zero
BUCS Hockey 19-20,11/03/2019,15:30,Tournament,ICG Women's Western Conference Cup,Plymouth Women's 1,2,3,Cardiff Women's 3,Cardiff Women's 3,,,,Women's,Western Conference Cup,Western Conference Cup,1,5,,1,0,1,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,12:30,League,Men's Scottish Tier 3 ,Heriot-Watt Men's 2,0,0,Edinburgh Men's 5,,Draw,,Peffermill Playing Fields Provider: BUCS Hockey 19-20,Men's,Scottish,Season,0,0,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,25/09/2019,13:00,League,Men's Scottish Tier 4 ,Aberdeen Men's 3,0,1,Stirling Men's 3,Stirling Men's 3,,,"Hillhead Pitches, Hillhead Centre Provider: BUCS Hockey 19-20",Men's,Scottish,Season,1,1,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,25/09/2019,13:00,League,ICG Women's Scottish Tier 5,Edinburgh Women's 7,4,2,Heriot-Watt Women's 2,Edinburgh Women's 7,,,"Sport & Exercise Peffermill, Water Based 1 Provider: BUCS Hockey 19-20",Women's,Scottish,Season,2,6,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,13:00,League,Men's Scottish Tier 1,Aberdeen Men's 1,3,2,Heriot-Watt Men's 1,Aberdeen Men's 1,,,ASV Hockey Pitch (Water based) Provider: BUCS Hockey 19-20,Men's,Scottish,Tier 1,1,5,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,13:00,League,ICG Women's Scottish Tier 1,Glasgow Women's 1,0,1,Edinburgh Women's 2,Edinburgh Women's 2,,,"Garscube Sports Complex, West of Scotland Science Park, Maryhill Road, Glasgow. G20 0SP (01413305363) Provider: BUCS Hockey 19-20",Women's,Scottish,Tier 1,1,1,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,25/09/2019,13:30,League,ICG Women's Scottish Tier 4,St Andrews Women's 3,3,1,Stirling Women's 2,St Andrews Women's 3,,,University Sports Centre St Leonards Road  St andrews KY16 9DY 01334 462190  Provider: BUCS Hockey 19-20,Women's,Scottish,Season,2,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,13:30,League,Men's Scottish Tier 1,Abertay Men's 1,2,4,St Andrews Men's 1,St Andrews Men's 1,,,"DISC
Mains Loan, Dundee, DD4 7AA Provider: BUCS Hockey 19-20",Men's,Scottish,Tier 1,2,6,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,14:00,League,ICG Women's Scottish Tier 1,Strathclyde Women's 1,1,3,Dundee Women's 1,Dundee Women's 1,,,"University of Strathclyde - Stepps Playing Fields, 15 Avenue End Road, Glasgow, G33 6ND Provider: BUCS Hockey 19-20",Women's,Scottish,Tier 1,2,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,14:00,League,ICG Women's Scottish Tier 4,Dundee Women's 2,5,1,Glasgow Women's 4,Dundee Women's 2,,,"Riverside Sports Grounds	Riverside Drive	DD2 1UQ	01382 669568	On A85 next to Dundee Airport	
 Provider: BUCS Hockey 19-20",Women's,Scottish,Season,4,6,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,14:00,League,Men's Scottish Tier 2 ,Edinburgh Men's 3,2,3,Stirling Men's 1,Stirling Men's 1,,,"Sport & Exercise Peffermill, Water Based 2 Provider: BUCS Hockey 19-20",Men's,Scottish,Tier 2,1,5,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,14:30,League,Men's Scottish Tier 1,Edinburgh Men's 2,2,2,Glasgow Men's 1,,Draw,,"Sport & Exercise Peffermill, Water Based 1 Provider: BUCS Hockey 19-20",Men's,Scottish,Tier 1,0,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,14:30,League,Men's Scottish Tier 4 ,Glasgow Men's 3,6,1,Aberdeen Men's 2,Glasgow Men's 3,,,"Garscube Sports Complex, West of Scotland Science Park, Maryhill Road, Glasgow. G20 0SP (01413305363) Provider: BUCS Hockey 19-20",Men's,Scottish,Season,5,7,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,15:00,League,ICG Women's Scottish Tier 1,St Andrews Women's 1,1,0,Stirling Women's 1,St Andrews Women's 1,,,University Sports Centre St Leonards Road  St andrews KY16 9DY 01334 462190  Provider: BUCS Hockey 19-20,Women's,Scottish,Tier 1,1,1,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,25/09/2019,15:30,League,Men's Scottish Tier 3 ,Strathclyde Men's 2,3,1,Edinburgh Men's 4,Strathclyde Men's 2,,,"University of Strathclyde - Stepps Playing Fields, 15 Avenue End Road, Glasgow, G33 6ND Provider: BUCS Hockey 19-20",Men's,Scottish,Season,2,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,15:30,League,ICG Women's Scottish Tier 3,Abertay Women's 1,5,2,Strathclyde Women's 2,Abertay Women's 1,,,"DISC
Mains Loan, Dundee, DD4 7AA Provider: BUCS Hockey 19-20",Women's,Scottish,Season,3,7,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,15:30,League,ICG Women's Scottish Tier 2,Edinburgh Women's 4,1,2,Robert Gordon Women's 1,Robert Gordon Women's 1,,,"Sport & Exercise Peffermill, Water Based 2 Provider: BUCS Hockey 19-20",Women's,Scottish,Tier 2,1,3,,1,1,0,0,0,0,0,0
