League,KM
ICG Women's Midlands Tier 1,102.90711362807853
ICG Women's Midlands Tier 2,538.5646121848386
ICG Women's Midlands Tier 3,497.5863352756988
ICG Women's Midlands Tier 4,465.3826430399603
ICG Women's Midlands Tier 5,55.758517826483796
ICG Women's Northern Tier 1,245.1465269044745
ICG Women's Northern Tier 2,658.2185743516673
ICG Women's Northern Tier 3,572.466913510047
ICG Women's Northern Tier 4,449.90330742884106
ICG Women's Northern Tier 5,1234.4419822393475
ICG Women's Scottish Tier 1,140.15339086865768
ICG Women's Scottish Tier 2,256.30317605749093
ICG Women's Scottish Tier 3 ,153.0628604468354
ICG Women's Scottish Tier 4,279.72715623144995
ICG Women's Scottish Tier 5,1371.7208649451918
ICG Women's South Eastern Tier 1,154.48750802241668
ICG Women's South Eastern Tier 2,406.2908825975194
ICG Women's South Eastern Tier 3,283.7470246266372
ICG Women's South Eastern Tier 4,268.4035357319129
ICG Women's South Eastern Tier 5,515.7824766641754
ICG Women's Western Tier 1,226.7373528166336
ICG Women's Western Tier 2,478.65337800520564
ICG Women's Western Tier 3,630.4333190718402
ICG Women's Western Tier 4,676.9756111434766
Men's Midlands Tier 1,157.7352615880681
Men's Midlands Tier 2,336.0785519393997
Men's Midlands Tier 3,500.50547576884765
Men's Midlands Tier 4,410.3262093037619
Men's Northern Tier 1,277.06652352029954
Men's Northern Tier 2,676.9826059390087
Men's Northern Tier 3,509.0458226645822
Men's Northern Tier 4,464.4745555166455
Men's Northern Tier 5,429.6222375344745
Men's Scottish Tier 1,127.15599486519825
Men's Scottish Tier 2,219.10420147485172
Men's Scottish Tier 3,79.96101484584382
Men's Scottish Tier 4,319.4574502053107
Men's South Eastern Tier 1,203.86790604829628
Men's South Eastern Tier 2,356.37610644219654
Men's South Eastern Tier 3,245.88032135080945
Men's South Eastern Tier 4,318.32369160136756
Men's South Eastern Tier 5,168.70092071719014
Men's Western Tier 1,272.4650418566811
Men's Western Tier 2,443.8230830583084
Men's Western Tier 3,513.4081652329766
Men's Western Tier 4,469.7565355504065
