Modified Home,Venue Postcode,
Plymouth,PL6 8BH,
Heriot-Watt,EH16 5LL,
Aberdeen,AB24 5RU,
Edinburgh,EH16 5LL,
Glasgow,G20 0SP,
St Andrews,KY16 9DY,
Abertay,DD4 7AA,
Strathclyde,G33 6ND,
Dundee,DD2 1UQ,
UWS,G41 4LB, 
Edinburgh Napier,EH16 5LL,
Robert Gordon,AB15 8AR,
Stirling,FK9 4LA,
Queen Margaret,E20 3AD,
Glasgow Caledonian,G40 1HB,
Cardiff Met,CF5 2YB,
Reading,RG6 6UR,
Sheffield,S8 8PS,
Royal Holloway,TW20 9TR,
Brunel,UB8 3PH,
Chichester,PO19 6PE,
Leeds Beckett,LS6 3QQ,
Nottingham,NG7 2PS,
Bedfordshire,LU1 3JU,
Winchester,SO23 0QA,
Hull,HU6 8JG,
Bath,BA2 7AY,
Cardiff,CF14 3AT,
Sheffield Hallam,S17 3LJ,
Exeter,EX4 4QN,
Warwick,CV4 8AH,
Portsmouth,PO4 8LW,
Liverpool,L18 6HF,
Nottingham Trent,NG11 8NS,
Bournemouth,BH23 6BL,
Southampton,SO50 5PE,
Leeds,LS16 5AU,
Manchester,M14 6HE,
Liverpool John Moores,L37 7DP,
Durham,DH1 3SE,
Chester: Chester,CH1 4AR,
Oxford Brookes,OX3 0GB,
UWE,BS16 1QY,
Aberystwyth,SA48 7BX,
Edge Hill,L39 4QP,
Surrey,GU2 7AD,
De Montfort,LE12 7FG,
Kent,CT2 7SR,
Lincoln,LN6 7TS,
Royal Agricultural,GL7 6JS,
Kingston,E20 3AD,
Queen Mary (Barts),E20 3AD,
Canterbury CC,CT3 4AF,
Imperial (Medics),UB3 5AQ,
Northumbria,NE29 6TL,
Sussex,BN1 9PJ,
King's College,SE23 1NW,
Hertfordshire,AL10 9EU,
Coventry,CV4 8GP,
Worcester,WR3 7SW,
East Anglia,NR4 7TJ,
Birmingham City,B42 2TP,
Bucks New,HP7 9HN,
Manchester Met,M14 6PA,
Roehampton,SW15 5JQ,
UCL,W4 2SH,
Royal Veterinary College,EN6 3BW,
Bangor,LL57 2EH,
Newcastle,NE12 8AD,
Loughborough,LE11 3TU,
Salford,WA15 7LU,
East London,E20 3AD,
UCL (RUMS),EN4 0PS,
Leicester,LE2 2LL,
Bristol,BS9 2BJ,
St George's,KT7 0AE,
Lancaster,LA1 4YQ,
St Mary's,TW11 9BE,
Marjon,PL6 8BH,
Leeds Trinity,LS18 5HD,
Teesside,TS20 1PE,
King's College (GKT),SE23 1NW,
Cumbria,LA1 3DY,
Solent,SO16 7AY,
Gloucestershire,GL2 9DW,
Essex,CO4 3SQ,
Huddersfield,HD4 6EN,
Hartpury,GL1 2BG,
Derby,DE22 1JD,
Birmingham,B15 2GR,
Staffordshire,ST15 0BW,
Imperial,TW7 4NQ,
Bath Spa,BA11 2SA,
City,E20 3AD,
Bradford,BD9 4JP,
Cardiff (Medics),CF14 3AT,
Greenwich,SE9 2UG,
UW TSD: Carmarthen,SA48 7HH,
Swansea,SA2 9AU,
Anglia Ruskin (Cambridge),CB3 0EQ,
Queen Mary,E20 3AD,
York,YO10 5NA,
USW,CF37 5UP,
Aston,B43 7AJ,
Harper Adams,TF10 8NB,
Wrexham Glyndwr,LL11 2AW,
Keele,ST5 5BG,
UCLan,PR2 1SG,
Arts London,E20 3AD,
Brighton,BN21 1EA,
York St John,YO8 4BL,
Cambridge,CB3 0EQ,
Northampton,NN3 7QL,
LSE,E20 3AD,
Brighton (Eastbourne),BN3 7BW,
Bolton,BL1 5BP,
Liverpool Hope,L16 9JD,
Oxford,OX4 1SR,
Brighton (Brighton),BN21 1EA,
Chester,CH1 4AR,
Sunderland,SR2 8PD,
Anglia Ruskin,CB3 0EQ,
Writtle,CM2 8RL,
