,names,gs,rd,Home,Team Type,Home Institute,Home Team,Modified Home,Venue Postcode,Lat,Lon,id,league,tier,section
0,Loughborough Men's 1,3050.598118018828,52.629577906214216,Loughborough Men's 1,Men's,Loughborough,1,Loughborough,LE11 3TU,52.76669999999999,-1.2,35,Premier,Premier,Premier
1,Durham Men's 1,3044.67302937991,52.618989103990096,Durham Men's 1,Men's,Durham,1,Durham,DH1 3SE,54.77482,-1.56714,188,Premier,Premier,Premier
2,Exeter Men's 1,3044.5120843226914,52.62800856189479,Exeter Men's 1,Men's,Exeter,1,Exeter,EX4 4QN,50.73776,-3.5297,283,Premier,Premier,Premier
3,Nottingham Men's 1,3039.4485197811914,52.62893225724802,Nottingham Men's 1,Men's,Nottingham,1,Nottingham,NG7 2PS,52.9536,-1.1505,51,Premier,Premier,Premier
4,Nottingham Trent Men's 1,3017.908730860759,53.23436679762633,Nottingham Trent Men's 1,Men's,Nottingham Trent,1,Nottingham Trent,NG11 8NS,52.87862,-1.19524,110,Premier,Premier,Premier
5,Oxford Men's 1,3015.652333268108,52.6289459989046,Oxford Men's 1,Men's,Oxford,1,Oxford,OX4 1SR,51.723725,-1.224375,195,Premier,Premier,Premier
6,Edinburgh Men's 1,3008.805624184538,52.63173535892635,Edinburgh Men's 1,Men's,Edinburgh,1,Edinburgh,EH16 5LL,55.92249999999999,-3.1511333333333336,77,Premier,Premier,Premier
7,Bath Men's 1,2974.5870718393603,53.228721324429294,Bath Men's 1,Men's,Bath,1,Bath,BA2 7AY,51.35473913043478,-2.3910565217391304,204,Premier,Premier,Premier
8,Birmingham Men's 1,2969.867567946765,53.23002810555808,Birmingham Men's 1,Men's,Birmingham,1,Birmingham,B15 2GR,52.4623,-1.9212,95,Premier,Premier,Premier
9,Exeter Men's 2,2352.947633406118,53.21296216704933,Exeter Men's 2,Men's,Exeter,2,Exeter,EX4 4QN,50.73776,-3.5297,284,North/South1,North/South1,1
10,Nottingham Men's 2,2348.3914387134023,53.22096064052369,Nottingham Men's 2,Men's,Nottingham,2,Nottingham,NG7 2PS,52.9536,-1.1505,54,North/South2,North/South2,2
11,Nottingham Trent Men's 2,2341.1943686685954,51.51059580664286,Nottingham Trent Men's 2,Men's,Nottingham Trent,2,Nottingham Trent,NG11 8NS,52.87862,-1.19524,108,North/South2,North/South2,2
12,Manchester Men's 1,2337.188306901463,49.93133649600149,Manchester Men's 1,Men's,Manchester,1,Manchester,M14 6HE,53.4482,-2.2257,273,Premier,Premier,Premier
13,Reading Men's 1,2329.6522718297265,50.97381701905859,Reading Men's 1,Men's,Reading,1,Reading,RG6 6UR,51.4396,-0.9292,226,North/South1,North/South1,1
14,Durham Men's 2,2326.0655434094097,52.61939012045205,Durham Men's 2,Men's,Durham,2,Durham,DH1 3SE,54.77482,-1.56714,185,North/South2,North/South2,2
