Home,Postcode,Competition
Heriot-Watt,,Men's Scottish Tier 3 
Aberdeen,,Men's Scottish Tier 4 
Edinburgh,,ICG Women's Scottish Tier 5
Aberdeen,,Men's Scottish Tier 1
Glasgow,G20 0SP,ICG Women's Scottish Tier 1
St Andrews,KY16 9DY,ICG Women's Scottish Tier 4
Abertay,DD4 7AA,Men's Scottish Tier 1
Strathclyde,G33 6ND,ICG Women's Scottish Tier 1
Dundee,DD2 1UQ,ICG Women's Scottish Tier 4
Edinburgh,,Men's Scottish Tier 2 
Edinburgh,,Men's Scottish Tier 1
Glasgow,G20 0SP,Men's Scottish Tier 4 
St Andrews,KY16 9DY,ICG Women's Scottish Tier 1
Strathclyde,G33 6ND,Men's Scottish Tier 3 
Abertay,DD4 7AA,ICG Women's Scottish Tier 3
Edinburgh,,ICG Women's Scottish Tier 2
Aberdeen,,ICG Women's Scottish Tier 2
Aberdeen,,ICG Women's Scottish Tier 4
Edinburgh,,ICG Women's Scottish Tier 2
Glasgow,G20 0SP,Men's Scottish Tier 2 
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
Edinburgh,,ICG Women's Scottish Tier 5
UWS,G41 4LB,ICG Women's Scottish Tier 5
Strathclyde,G33 6ND,Men's Scottish Tier 3 
Glasgow,G20 0SP,ICG Women's Scottish Tier 5
Edinburgh Napier,,ICG Women's Scottish Tier 5
Glasgow,G20 0SP,ICG Women's Scottish Tier 3
Edinburgh Napier,,ICG Women's Scottish Tier 3
Edinburgh Napier,,ICG Women's Scottish Tier 5
Glasgow,G20 0SP,Men's Scottish Tier 4 
Aberdeen,,Men's Scottish Tier 4 
Robert Gordon,AB24 5RU,ICG Women's Scottish Tier 2
Heriot-Watt,,ICG Women's Scottish Tier 2
Stirling,FK9 4LA,ICG Women's Scottish Tier 4
Stirling,FK8 1QZ,ICG Women's Scottish Tier 5
St Andrews,KY16 9DY,Men's Scottish Tier 1
Abertay,DD4 7AA,Men's Scottish Tier 1
Dundee,DD2 1UQ,Men's Scottish Tier 2 
Queen Margaret,,ICG Women's Scottish Tier 5
Stirling,FK9 4LA,Men's Scottish Tier 4 
Edinburgh,,Men's Scottish Tier 3 
St Andrews,KY16 9DY,ICG Women's Scottish Tier 1
Stirling,FK8 1QZ,ICG Women's Scottish Tier 5
Dundee,DD2 1UQ,Men's Scottish Tier 4 
Strathclyde,G33 6ND,Men's Scottish Tier 3 
Edinburgh,,ICG Women's Scottish Tier 2
Edinburgh,,ICG Women's Scottish Tier 1
Stirling,FK9 4LA,ICG Women's Scottish Tier 1
Glasgow,G20 0SP,Men's Scottish Tier 1
St Andrews,KY16 9DY,ICG Women's Scottish Tier 3
Glasgow Caledonian,G40 1HB,ICG Women's Scottish Tier 3
Edinburgh,,ICG Women's Scottish Tier 4
Edinburgh,,ICG Women's Scottish Tier 5
Glasgow,G20 0SP,ICG Women's Scottish Tier 5
St Andrews,KY16 9DY,ICG Women's Scottish Tier 4
Glasgow Caledonian,G40 1HB,Men's Scottish Tier 3 
Edinburgh Napier,,ICG Women's Scottish Tier 3
St Andrews,KY16 9DY,Men's Scottish Tier 2 
Cardiff Met,,ICG Women's Western Tier 4
Reading,RG6 6UR,ICG Women's South Eastern Tier 3 
Sheffield,S8 8PS,Men's Northern Tier 5
Queen Margaret,,ICG Women's Scottish Tier 5
Royal Holloway,,Men's South Eastern Tier 3
Brunel,UB8 3PH,Men's South Eastern Tier 4
Chichester,PO19 6PE,Men's South Eastern Tier 4
Leeds Beckett,LS6 3QQ,Men's Northern Tier 4
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 3
Bedfordshire,MK41 9EA,ICG Women's Midlands Tier 4
Winchester,SO23 0QA,ICG Women's Western Tier 5
Hull,,ICG Women's Northern Tier 5
Bath,BA2 7AY,ICG Women's Western Tier 2
Cardiff,CF14 3AT,ICG Women's Western Tier 2
Sheffield Hallam,,ICG Women's Northern Tier 4
Exeter,EX4 4QN,Men's Western Tier 1
Warwick,CV4 8AH,ICG Women's Midlands Tier 1
Portsmouth,PO4 8LW,ICG Women's South Eastern Tier 1
Liverpool,L18 6HF,Men's Northern Tier 3
Nottingham Trent,,Men's Midlands Tier 2
Bournemouth,BH23 6BL,Men's Western Tier 2 
Bath,BA2 7AY,Men's Western Tier 3 
Warwick,CV4 8UW,Men's Midlands Tier 3
Southampton,SO50 5PE,Men's Western Tier 4
Leeds,LS16 5AU,Men's Northern Tier 5
