names,gs,rd
Cardiff Met Women's 2,2010.9101128468503,49.94005083152887
Cardiff Women's 2,1990.845514029211,64.25199017539273
Newcastle Women's 1,2318.8379530571015,52.63157323833872
Loughborough Women's 2,2298.742782930765,53.22331876098399
Glasgow Women's 1,2330.809757531463,49.927213141221124
Nottingham Women's 2,2290.1507518546023,52.62432001878632
UCL Men's 5,916.3998194269491,52.0717715130183
UCL Men's 4 (RUMS),940.2608382685164,49.48108570341824
Edinburgh Men's 1,3008.805624184538,52.63173535892635
Nottingham Men's 1,3039.4485197811914,52.628932257248024
Edinburgh Women's 1,2992.424593229617,52.637868879874425
Nottingham Women's 1,3075.127610330468,53.224047568038756
Birmingham Men's 6,917.0447008454772,62.373004786463284
Nottingham Men's 7,912.1546227342383,66.601802310621
Nottingham Trent Women's 3,1544.240430081198,49.926446127988214
Oxford Brookes Women's 2,1543.4041250515118,50.417429924921215
Heriot-Watt Men's 2,1146.2013845938227,50.96063574709935
St Andrews Men's 2,1210.3163555382544,52.042183030249014
Liverpool Women's 2,1504.9333257196356,49.92849036426078
Liverpool John Moores Women's 1,1518.050222522822,50.9729974408649
Edinburgh Napier Men's 1,1285.3741986368775,59.554962383000046
Abertay Men's 1,1068.0281096130998,51.524221519276736
Imperial Women's 4 (Medics),801.5407674341438,52.655299066921046
St George's Women's 2,710.3520060156675,50.968039719819274
Arts London Women's 1,1312.9886605347751,51.49898345311072
St George's Women's 1,1194.8667079151028,49.92192918383292
Bolton Men's 1,623.67729007041,52.65772874621569
Wrexham Glyndwr Men's 1,630.6779369781018,53.83253103707984
City Women's 1,856.8617429339987,50.96474161111195
King's College Women's 5 (GKT),884.3831413144394,51.489681538942776
Nottingham Trent Women's 1,3027.5393433221916,52.63930022938387
Durham Women's 1,3050.57376232965,52.61868812734721
Oxford Men's 1,3015.6523332681077,52.6289459989046
St Andrews Women's 2,1241.9867809847367,51.49484823030592
Glasgow Women's 3,1186.0108435170962,51.48715539434426
Cardiff Met Men's 2,1512.2815931996,50.42685758054589
Cardiff Men's 2,1560.6228107735867,50.42362318808337
Birmingham Men's 5,1532.6891271035793,50.95155128557168
Aston Men's 1,1405.808597947655,50.42412978940077
Birmingham Men's 1,2969.867567946765,53.230028105558084
Bath Men's 1,2974.5870718393603,53.228721324429294
Edinburgh Napier Women's 2,562.4493220111164,53.262611512669764
Glasgow Women's 6,710.521228448306,69.04736293645955
Derby Men's 1,1109.003674580269,53.81728167676749
Oxford Men's 3,1184.5126709154117,49.92965408620533
Bath Women's 4,1178.145114473811,50.42863796602399
Southampton Women's 2,1211.3574362627612,52.05423125486478
King's College Women's 3 (GKT),1135.4285291956885,50.95147306838924
UCL Women's 3,1215.5965931900848,50.95457914046056
Cardiff Women's 1,2326.854527485054,53.2265631631461
Reading Women's 1,2390.978178470156,48.96648427696149
Loughborough Men's 4,1515.7035162688053,51.491825525909036
Oxford Brookes Men's 2,1501.1503564598017,50.95608769013052
Bristol Women's 6,901.7490888978498,52.04020768421273
Bristol Women's 5,952.0666261734793,50.982800448077384
Glasgow Men's 3,951.9238731630994,53.86345265281828
Edinburgh Men's 6,908.2237031285616,54.50381709768643
York Men's 1,1551.118123496716,50.42699087654226
Sheffield Hallam Men's 2,1500.446391180031,50.42697674050243
Warwick Men's 2,1477.147153026776,50.43262796428681
Coventry Men's 1,1454.676952547571,50.4242746922673
Manchester Men's 2,1525.9584063183852,51.52207954270914
Bangor Men's 1,1543.7640120635592,50.94617459043142
Exeter Men's 5,1559.2830189579845,50.952548366269816
UWE Men's 2,1495.0461482995952,50.95601610670192
Harper Adams Women's 1,1286.6820610296525,50.419579958731106
Oxford Brookes Women's 4,1146.8631136432418,52.04745455427504
Leeds Beckett Men's 2,1208.4287344129978,50.42998725912055
Sheffield Men's 2,1200.1286178458447,50.42892850597862
Glasgow Caledonian Women's 2,622.679167057351,61.33760961265879
Glasgow Women's 5,742.8853070757749,54.500961057626945
Exeter Men's 1,3044.5120843226914,52.62800856189479
Bristol Women's 3,1547.9434566009152,50.96448343342368
USW Women's 1,1452.7377228038597,50.447929766666014
Manchester Women's 3,926.6821685242131,50.95866768836505
Leeds Beckett Women's 4,955.1845178783948,53.82901412553991
Imperial Women's 1,1506.0440306248875,50.42670147089021
Brunel Women's 1,1501.576889756097,50.44327500207624
De Montfort Women's 1,892.20867899033,51.51177742859956
Nottingham Trent Women's 5,917.7158015144165,50.47907950994044
UCL Women's 5 (RUMS),984.542317033887,52.03715087416748
UCL Women's 4,895.0581672767712,49.93755006948081
Reading Women's 4,931.2523020161751,50.94969396486526
Royal Holloway Women's 2,866.4226130049683,50.95134889917614
Dundee Men's 2,888.4693696612246,54.49352522215064
Aberdeen Men's 2,889.3827642235523,54.501206755184114
St Andrews Women's 3,911.1651234400334,50.432206495722774
Glasgow Caledonian Women's 1,878.5705202049859,50.43006320628603
Nottingham Trent Men's 2,2341.1943686685954,51.51059580664286
Durham Men's 2,2326.0655434094097,52.61939012045205
Cambridge Women's 2,1543.613459976712,50.430982913950025
Nottingham Trent Women's 2,1576.7050226926435,49.927462803718484
City Men's 1,1211.0993154291975,49.94065167711553
Brighton Men's 1,1207.3263367470809,50.44956292206704
Edinburgh Women's 3,1988.9354296961267,50.42770674024457
Strathclyde Women's 1,1969.4375619620803,50.43157701304646
Northampton Women's 1,778.1648478090011,53.24279056701755
Oxford Brookes Women's 5,933.2395806813635,60.425436840582876
Kent Women's 3,763.6286636611874,55.837947566876046
Greenwich Women's 1,722.4628114081905,56.55907838767897
Sheffield Hallam Men's 1,2300.9493530341288,52.62472852894567
Nottingham Men's 2,2348.3914387134023,53.22096064052369
Worcester Women's 1,1113.0619784681207,51.49795871853888
Birmingham Women's 6,1321.1742338160539,49.91898515222629
Newcastle Women's 3,1502.7341992793802,51.496564368912296
Durham Women's 4,1527.518971757596,50.43382517181608
Southampton Men's 4,817.5615003597158,55.12448291920169
Southampton Men's 3,875.2950499789799,52.09135011885365
Hertfordshire Women's 1,1384.8329481982692,50.428616281423416
Kent Women's 1,1531.367518425877,50.43945182665671
Birmingham Women's 2,2288.2647233079006,53.22534542295997
Leeds Women's 1,2296.403327256487,53.22212188135871
Roehampton Women's 1,678.7366771980081,52.08238320066031
Royal Holloway Women's 3,619.0695082298321,53.26158192342867
Bath Men's 3,1536.8313417425527,50.43299274815013
Gloucestershire Men's 1,1398.9076739323202,49.91479938108602
Nottingham Men's 6,1279.4007975891943,53.22121242231641
Warwick Men's 3,1106.5523735461384,52.063612072612294
Leeds Men's 2,1509.3521207062554,50.42699757867514
Newcastle Men's 2,1486.0966370514368,50.43342986272643
Cumbria Men's 1,843.417657952771,50.95122511507636
Sheffield Men's 3,928.7371049631499,52.05541959525721
Gloucestershire Women's 1,1441.390873532687,50.43968170856464
Cardiff Women's 3 (Medics),1519.7948398528783,64.25204323003587
Aberdeen Women's 2,867.1834333576058,50.960456018945884
Aberdeen Women's 3,949.7352185430639,52.044805510263274
Birmingham City Women's 1,1189.8700455990595,50.95890463715455
Aston Women's 1,1122.7154474302865,50.94568357032845
Loughborough Men's 3,1543.1326832828786,49.92189801252989
Cambridge Men's 2,1489.166993502461,50.42358486934885
Swansea Women's 3,1100.2126179014701,49.9446805829377
